title,year,rating,description,genre,runtime_in_min
John Wick: Chapter 4,2023,8.3,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Action, Crime, Thriller",169.0
Avatar: The Way of Water,2022,7.7,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","Action, Adventure, Fantasy",192.0
Everything Everywhere All at Once,2022,7.9,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Action, Adventure, Comedy",139.0
The Whale,2022,7.7,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",Drama,117.0
Top Gun: Maverick,2022,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Action, Drama",130.0
The Banshees of Inisherin,2022,7.7,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.","Comedy, Drama",114.0
Puss in Boots: The Last Wish,2022,7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Animation, Adventure, Comedy",102.0
Im Westen nichts Neues,2022,7.8,A young German soldier's terrifying experiences and distress on the western front during World War I.,"Action, Drama, War",148.0
The Godfather,1972,9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Crime, Drama",175.0
The Shawshank Redemption,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,142.0
The Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","Action, Crime, Drama",176.0
Interstellar,2014,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Adventure, Drama, Sci-Fi",169.0
Once Upon a Time in... Hollywood,2019,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"Comedy, Drama",161.0
Aftersun,2022,7.7,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,Drama,102.0
RRR (Rise Roar Revolt),2022,7.9,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,"Action, Drama",187.0
Pulp Fiction,1994,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama",154.0
The Help,2011,8.1,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,146.0
Avatar,2009,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"Action, Adventure, Fantasy",162.0
Cool Hand Luke,1967,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime, Drama",127.0
Dune: Part One,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Action, Adventure, Drama",155.0
